| Model                       | Overall Score   | Coding     | Knowledge   | Mathematics   | Reasoning   | Roleplay   | Writing    |
|-----------------------------|-----------------|------------|-------------|---------------|-------------|------------|------------|
| deepseek-v3-250324          | 454.47(1)       | 452.89(1)  | 464.54(2)   | 450.28(1)     | 464.53(1)   | 443.75(5)  | 454.08(3)  |
| deepseek-r1-250120          | 453.76(2)       | 434.31(3)  | 460.32(4)   | 418.86(3)     | 456.35(4)   | 461.19(1)  | 468.82(1)  |
| QwQ-32B                     | 452.75(3)       | 426.15(4)  | 464.94(1)   | 430.91(2)     | 462.08(3)   | 455.78(2)  | 465.50(2)  |
| gemma-3-27b-it              | 437.61(4)       | 399.08(6)  | 462.22(3)   | 392.74(6)     | 462.13(2)   | 452.91(3)  | 449.74(4)  |
| claude3.7-sonnet-20250219   | 433.34(5)       | 443.67(2)  | 440.30(6)   | 413.26(4)     | 425.93(6)   | 413.21(7)  | 441.32(6)  |
| gpt-4o-2024-11-20           | 433.30(6)       | 410.70(5)  | 446.93(5)   | 387.72(7)     | 447.76(5)   | 450.16(4)  | 443.45(5)  |
| Qwen2.5-72B-Instruct        | 395.04(7)       | 383.07(7)  | 409.28(8)   | 372.91(8)     | 407.08(9)   | 378.90(9)  | 406.01(8)  |
| qwen-max-2024-10-15         | 392.19(8)       | 368.64(9)  | 408.78(9)   | 369.27(9)     | 409.36(8)   | 381.76(8)  | 405.38(9)  |
| gemma-3-4b-it               | 391.92(9)       | 326.42(12) | 426.82(7)   | 292.43(14)    | 421.03(7)   | 431.55(6)  | 420.14(7)  |
| doubao-1-5-pro-32k-250115   | 384.80(10)      | 375.10(8)  | 395.58(10)  | 399.26(5)     | 395.22(10)  | 356.37(12) | 390.39(10) |
| Qwen2.5-32B-Instruct        | 370.52(11)      | 342.44(10) | 380.65(11)  | 360.14(10)    | 388.93(11)  | 356.79(11) | 386.67(12) |
| Meta-Llama-3.1-70B-Instruct | 362.23(12)      | 336.79(11) | 368.04(12)  | 305.13(13)    | 381.05(12)  | 360.94(10) | 388.10(11) |
| Qwen2.5-7B-Instruct         | 357.59(13)      | 324.79(13) | 367.58(13)  | 339.03(11)    | 369.78(13)  | 348.52(13) | 378.48(13) |
| hunyuan-standard-2025-02-10 | 345.51(14)      | 322.40(14) | 351.35(14)  | 328.22(12)    | 361.42(14)  | 336.03(15) | 361.80(15) |
| Meta-Llama-3.1-8B-Instruct  | 338.07(15)      | 310.33(15) | 345.94(15)  | 271.33(16)    | 341.63(16)  | 345.72(14) | 366.84(14) |
| Mistral-7B-Instruct-v0.3    | 314.22(16)      | 272.39(16) | 324.97(16)  | 223.40(17)    | 324.49(17)  | 331.22(16) | 351.71(16) |
| Phi-4-mini-instruct         | 309.55(17)      | 268.48(17) | 307.78(17)  | 287.93(15)    | 345.47(15)  | 320.75(17) | 328.02(17) |
